Date,Open,High,Low,Close,
26-Nov-18,10568.3,10637.8,10489.75,10628.6,1.411377774
27-Nov-18,10621.45,10695.15,10596.35,10685.6,0.932396533
28-Nov-18,10708.75,10757.8,10699.85,10728.85,0.541596378
29-Nov-18,10808.7,10883.05,10782.35,10858.7,0.933933697
30-Nov-18,10892.1,10922.45,10835.1,10876.75,0.806176224
03-Dec-18,10930.7,10941.2,10845.35,10883.75,0.883788905
04-Dec-18,10877.1,10890.95,10833.35,10869.5,0.53169149
05-Dec-18,10820.45,10821.05,10747.95,10782.9,0.680129699
06-Dec-18,10718.15,10722.65,10588.25,10601.15,1.26933157
07-Dec-18,10644.8,10704.55,10599.35,10693.7,0.992513692
10-Dec-18,10508.7,10558.85,10474.95,10488.45,0.800958477
11-Dec-18,10350.05,10567.15,10333.85,10549.15,2.257629054
12-Dec-18,10591,10752.2,10560.8,10737.6,1.8123627
13-Dec-18,10810.75,10838.6,10749.5,10791.55,0.828875762
14-Dec-18,10784.5,10815.75,10752.1,10805.45,0.591977381
17-Dec-18,10853.2,10900.35,10844.85,10888.35,0.511763648
18-Dec-18,10850.9,10915.4,10819.1,10908.7,0.890092522
19-Dec-18,10930.55,10985.15,10928,10967.3,0.522968521
20-Dec-18,10885.2,10962.55,10880.05,10951.7,0.758268574
21-Dec-18,10944.25,10963.65,10738.65,10754,2.095235435
24-Dec-18,10780.9,10782.3,10649.25,10663.5,1.249383759
26-Dec-18,10635.45,10747.5,10534.55,10729.85,2.021443726
27-Dec-18,10817.9,10834.2,10764.45,10779.8,0.647966222
28-Dec-18,10820.95,10893.6,10817.15,10859.9,0.706748081
31-Dec-18,10913.2,10923.55,10853.2,10862.55,0.648195924
01-Jan-19,10881.7,10923.6,10807.1,10910.1,1.077995022
02-Jan-19,10868.85,10895.35,10735.05,10792.5,1.493239435
03-Jan-19,10796.8,10814.05,10661.25,10672.25,1.433227811
04-Jan-19,10699.7,10741.05,10628.65,10727.35,1.057519064
07-Jan-19,10804.85,10835.95,10750.15,10771.8,0.798128398
08-Jan-19,10786.25,10818.45,10733.25,10802.15,0.793794983
09-Jan-19,10862.4,10870.4,10749.4,10855.15,1.125644222
10-Jan-19,10859.35,10859.35,10801.8,10821.6,0.532781573
11-Jan-19,10834.75,10850.15,10739.4,10794.95,1.031249418
14-Jan-19,10807,10808,10692.35,10737.6,1.081614425
15-Jan-19,10777.55,10896.95,10777.55,10886.8,1.107858465
16-Jan-19,10899.65,10928.15,10876.9,10890.3,0.471182046
17-Jan-19,10920.85,10930.65,10844.65,10905.2,0.793017755
18-Jan-19,10914.85,10928.2,10852.2,10906.95,0.700318829
21-Jan-19,10919.35,10987.45,10885.75,10961.85,0.934248903
22-Jan-19,10949.8,10949.8,10864.15,10922.75,0.788372767
23-Jan-19,10931.05,10944.8,10811.95,10831.5,1.228733022
24-Jan-19,10844.05,10866.6,10798.65,10849.8,0.629245322
25-Jan-19,10859.75,10931.7,10756.45,10780.55,1.629255005
28-Jan-19,10792.45,10804.45,10630.95,10661.55,1.632027241
29-Jan-19,10653.7,10690.35,10583.65,10652.2,1.008158811
30-Jan-19,10702.25,10710.2,10612.85,10651.8,0.917284236
31-Jan-19,10690.55,10838.05,10678.55,10830.95,1.493648482
01-Feb-19,10851.35,10983.45,10813.45,10893.65,1.572116207
04-Feb-19,10876.75,10927.9,10814.15,10912.25,1.051862606
05-Feb-19,10908.65,10956.7,10886.7,10934.35,0.642986396
06-Feb-19,10965.1,11072.6,10962.7,11062.45,1.002490262
07-Feb-19,11070.45,11118.1,11043.6,11069.4,0.674598863
08-Feb-19,11023.5,11041.2,10925.45,10943.6,1.059452929
11-Feb-19,10930.9,10930.9,10857.1,10888.8,0.679739525
12-Feb-19,10879.7,10910.9,10823.8,10831.4,0.804708143
13-Feb-19,10870.55,10891.65,10772.1,10793.65,1.109811457
14-Feb-19,10786.1,10792.7,10718.75,10746.05,0.689912536
15-Feb-19,10780.25,10785.75,10620.4,10724.4,1.556909344
18-Feb-19,10738.65,10759.9,10628.4,10640.95,1.237251138
19-Feb-19,10636.7,10722.85,10585.65,10604.35,1.296094241
20-Feb-19,10655.45,10752.7,10646.4,10735.45,0.998459573
21-Feb-19,10744.1,10808.85,10721.5,10789.85,0.81471809
22-Feb-19,10782.7,10801.55,10758.4,10791.65,0.401081945
25-Feb-19,10813.25,10887.1,10788.05,10880.1,0.918145541
26-Feb-19,10775.3,10888.75,10729.3,10835.3,1.486117454
27-Feb-19,10881.2,10939.7,10751.2,10806.65,1.753292656
28-Feb-19,10865.7,10865.7,10784.85,10792.5,0.749662721
01-Mar-19,10842.65,10877.9,10823.1,10863.5,0.506324436
05-Mar-19,10864.85,10994.9,10817,10987.45,1.644633447
06-Mar-19,11024.85,11062.3,10998.85,11053,0.576878492
07-Mar-19,11077.95,11089.05,11027.1,11058.2,0.561797753
08-Mar-19,11038.85,11049,11008.95,11035.4,0.363794912
11-Mar-19,11068.75,11180.9,11059.85,11168.05,1.094499473
12-Mar-19,11231.35,11320.4,11227,11301.2,0.831923043
13-Mar-19,11326.2,11352.3,11276.6,11341.7,0.671301633
14-Mar-19,11382.5,11383.45,11313.75,11343.25,0.616064523
