NAV_Date,NAV_Value
28/10/2020,77.3593
29/10/2020,76.9931
30/10/2020,76.8057
02/11/2020,76.981
03/11/2020,77.9312
04/11/2020,78.5901
05/11/2020,79.9846
06/11/2020,80.9277
09/11/2020,82.2295
10/11/2020,83.3496
11/11/2020,84.1271
12/11/2020,83.7424
13/11/2020,83.934
17/11/2020,84.9532
18/11/2020,85.3752
19/11/2020,84.2762
20/11/2020,84.8501
23/11/2020,85.2945
24/11/2020,86.1438
25/11/2020,84.8448
26/11/2020,85.6932
27/11/2020,85.5737
01/12/2020,86.4973
02/12/2020,86.5276
03/12/2020,86.6594
04/12/2020,87.4813
07/12/2020,88.1223
08/12/2020,88.3633
09/12/2020,89.2621
10/12/2020,88.9274
11/12/2020,89.1614
14/12/2020,89.453
15/12/2020,89.5169
16/12/2020,90.2734
02/03/2015,56.0614
03/03/2015,56.3536
04/03/2015,55.8955
05/03/2015,55.99
09/03/2015,54.8667
10/03/2015,54.5875
11/03/2015,54.5127
12/03/2015,54.9831
13/03/2015,54.191
16/03/2015,54.0994
17/03/2015,54.6564
18/03/2015,54.4227
19/03/2015,54.1045
20/03/2015,53.7542
23/03/2015,53.6288
24/03/2015,53.5912
25/03/2015,53.5212
26/03/2015,52.3425
27/03/2015,52.3421
30/03/2015,53.2839
31/03/2015,53.2723
01/04/2015,53.872
06/04/2015,54.3221
07/04/2015,54.3213
08/04/2015,54.6572
09/04/2015,55.0502
10/04/2015,55.0629
13/04/2015,55.3964
15/04/2015,54.8689
16/04/2015,54.5931
17/04/2015,53.9622
20/04/2015,52.9734
21/04/2015,52.5316
22/04/2015,52.8549
23/04/2015,52.6565
24/04/2015,52.0761
27/04/2015,51.5089
28/04/2015,51.9592
29/04/2015,51.6684
30/04/2015,51.3014
04/05/2015,52.2354
05/05/2015,52.1752
06/05/2015,50.7667
07/05/2015,50.5223
08/05/2015,51.3862
11/05/2015,52.1779
12/05/2015,50.9546
13/05/2015,51.6344
14/05/2015,51.5684
15/05/2015,51.8027
18/05/2015,52.4962
19/05/2015,52.4397
20/05/2015,52.7967
21/05/2015,52.7744
22/05/2015,53.0026
25/05/2015,52.4388
26/05/2015,52.2433
27/05/2015,52.2052
28/05/2015,52.1262
29/05/2015,52.8327
01/06/2015,52.8331
02/06/2015,51.6095
03/06/2015,51.0424
04/06/2015,51.0645
05/06/2015,50.9865
08/06/2015,50.5487
09/06/2015,50.4127
10/06/2015,51.0413
11/06/2015,50.0597
12/06/2015,50.166
15/06/2015,50.4073
16/06/2015,50.6171
17/06/2015,50.888
18/06/2015,51.4039
19/06/2015,51.727
22/06/2015,52.5261
23/06/2015,52.7011
24/06/2015,52.5739
25/06/2015,52.8047
26/06/2015,52.6982
29/06/2015,52.3057
30/06/2015,52.6166
01/07/2015,53.1435
02/07/2015,53.1196
03/07/2015,53.3694
06/07/2015,53.6063
07/07/2015,53.5327
08/07/2015,52.6066
09/07/2015,52.4177
